source,target,relation
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1415""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1134""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1227""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:761""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:98""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:789""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:785""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1320""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1209""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:531""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:295""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1069""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1210""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1102""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:755""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:240""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:800""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1225""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1089""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:138""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:23""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1183""","""CAPEC_TO_TECHNIQUE"""
